Mechanic,"Social, MMO, RPG?",Definition,Examples,How it can be abused or broken,Add to gameplay?,Detract from gameplay?,Impact on other players in multiplayer games
Inventory,"Social, RPG, MMO",Spaces to store your items within a game.  Can also act as a space limitation,"Diablo 3's inventory and chest limitations, World of Warcraft's five bag slots, Runescape's inventory and bank space",Could become tedious and problematic to players needing inventory space,Adds a component of planning and acts as a limitation to players,Game play can be disrupted if there is a lack of inventory space,Encourages trading and gives more meaning to the items players have
Bosses,"RPG, MMO","A unique/semi-unique enemy that usually marks a turningpoint/endpoint of a dungeon or a quest, sometimes with narrative significance","A player reaches the end of the game where his/her party must fight the most difficult enemy in the game, doing so will conclude the narrative and thus the game, credits roll, etc.","Players may attempt to ""farm"" a single boss over and over again for some lucrative drop, causing them to burn out on the game",Players gain a sense of accomplishment and closure when they defeat a boss. Also helps to make antagonists appear more significant than other minor and expendable enemies,Regular encounters with enemies may suffer from design neglect if too much emphasis is placed on interesting bosses. A boss that is placed at the wrong place and wrong time can cause a player to become overly frustrated with the game,Can serve as repeated content for groups
Morality System,"RPG, MMO","Depending on choices throughout the game, the system will allow or ban the player from certain events","As players become solve more problems peacefully, more peaceful resolutions become available. Same for solutions that resort to violence or conflict. ",A player can accidentally sway from good to evil relatively easily,Allows for interesting events and character interactions,Forces the player to take a moral stance on issues throughout the game,
Dungeon,"RPG, MMO","A designated adventuring area usually with a unified theme, increased chances for lucrative rewards, narrative significance and maybe one or two bosses","Once the player leaves the starting area they may encounter a dungeon where some characters are introduced, and the game takes its first jump in difficulty. At the end the player fight some boss and gets a large reward","Dungeons tend to have respawning enemies, some of which can be farmed for more items than developers intended",A place to put a collection of puzzles or challenges that would seem out of place anywhere else. Provides a thematically appropriate setting for a group of enemies and bosses,Overly long dungeons without breakpoints or saving will test the patience of some players,Can serve as repeated content for groups
Secrets,"RPG, MMO",Knowledge as a useful good,"Hands of cards, hidden equipment/inventories, special tricks, easter eggs, hidden areas","Secrets can be exposed externally (voluntarilly, of course), a player could reveal team secrets to another team, tricks could break the game if everyone cannot make use of them once discovered","Adds greatly to the exploration and immersion factors of the game, adds a non-numeric quantifier to the game (knowledge), discovering secrets adds playability and allows for % completion sort of thing","If important content is hidden, it could be missed, cool content might be missed out on, too many secrets can make applying tactics difficult","Explorers have much more to explore, Socialites can share secrets, all players can enjoy easter eggs, players can exchange tips and secrets, and everyone can make use of hidden areas for resource gathering (or hiding, in a PvP situation)"
Party System,"Social, MMO",Having a group of players that progress through the game and interact together,"Gang in Mafia Wars, Party in Diablo 3","Some games don't have adaptive difficulty, so the bigger the party is the easier it will be to progress",Can make combat and game progression more interesting and engaging,Can blemish the solo experience,Builds cooperation and camaraderie amongst party memebers
Guilds/Clans/Tribes,"MMO, Social",Groups of players closely-related in some way working together to complete goals,"Everquest, Kingdom of Loathing, MUDs, browser-based strategies like Travian and Tribal Wars","Clan-hopping, collectively griefing or abusing an area, heavily boosting lower-level players","Huge social factor, adds cooperation, gives strong community feel, party play (ex. raids) lead to players using different strategies, huge challenges can be included for completion by guilds","Players who prefer a solo experience are disadvantaged for their play style, clans can make challenges too easy by providing high-level resources for little-to-no cost","Guilds are a major pillar of modern MMOs. Players feel a sense of community, and seriously involved players can have the enjoyment of leading their own clan. Also, groups of players with similar interests and goals can get together."
PvP,MMO,Players or groups of players compete by fighting each other.,A player is killed by another player from an opposing faction. Each side begins to congregate on the same area to lend support until it becomes a war.,"Players can coordinate to grief some other players, potentially ruining their game experience (sometimes intended).",Adds spontaneous unpredictable conflict because players cannot be memorized like preprogrammed encounters can.,Creates conflicts with PvE balance.,"Can interrupt some other player goals (questing, farming, crafting). Participation is usually voluntary but not always."
Velvet Rope,"Social, MMO, RPG","Players are restricted access to certain items, areas, or features based on other mechanics","Locked areas, requirements to equip certain items, level requirement to form a guild, better drops/resources in more dangerous areas","Players can get restricted items indirectly (ex. from other players), or make use of restricted features through other players' characters","Gives cause for achievement, something to look forward to, somewhat of a prestige sort of thing (""I can get into the Outlands"", ""I can use tools made of mithril now"")","If too high a proportion of features are restricted, players will become dissatisfied with the earlier game. For intsance, in many MMOs, players need to reach the level cap in order to really enjoy endgame material, like large raids, battlegrounds, and PvP brackets","Having access to a ""roped-off"" area or item is a measure of prestige among players. Players who see ""VIP"" players will want to become VIP themselves, further pulling them into the game and its experience. Players may also desire access to a roped-off area for the purpose of obtaining resources that may be valuable to other players"
Puzzles,"MMO, RPG",Intellectual challenges usually based on wit and knowledge rather than character ability,"DDO's puzzle-filled instances, riddles, tests of lore knowledge as part of a quest",Answers can be shared or provided online with no penalty to the provider,"Adds a unique element to the game: progression requires not grinding and loot, but knowledge and perhaps social interaction","Too many puzzles, puzzles too difficult to solve without external help, or puzzles relying on mechanics previously relatively insignificant can put off players, especially Killers and Achievers","Puzzle hints and solutions become a knowledge- and experience-based resource, adding to the depth of the game and satisfying Explorers and Socialites everywhere"
Specialization,"MMO, RPG",Player is required to make certain decisions for abilities,"Crafting, talents, skill trees, raid builds, special equipment sets","Min/Maxing, heavy focus on ability/tree most ""buffed"" in current game version","Player cooperation, sense of achievement, neccessity to implement a wide variety of skills, helps create a strong economy","Skills and abilities higher-up on the chain may be effectively restricted from lower-level players, either by danger, level requirements, or guild policy","Heavily increases the need for socialization, heavily increases economy traffic, players must make use of eachother to advance as fast as everyone else, but this can upset players who prefer solo play (of course they could just stop playing MMOs...)"
Supply Chain,"MMO, RPG",Certain abilities require resources obtained through other abilities (earlier in the chain),"RuneScape skill system, Syrnia skill system, crafting in KoL or really any MMORPG","Players can acquire higher-up items and resources from other players, either voluntarily or accidentally","Structures economy, encourages player interaction, can involve specialization, can create a sense of achievement","Too heavy a supply chain can prevent players from enjoying all of the content, could lead to game essentially requiring clan involvement","Increase in player interaction, heavy increase in economy traffic, results in competition for limited resources, increases conflict and cooperation between clans"
